en,zh,confidence
a bad excuse is better than none,好死不如赖活,6
a bad penny always comes back,冤家路窄,8
a bad penny always turns up,冤家路窄,8
a bad tree does not yield good apples,龙生龙凤生凤老鼠生的会打洞,7
a bad workman always blames his tools,拙匠常怨工具差,9
a bad workman blames his tools,拙匠常怨工具差,9
a barking dog never bites,会叫的狗不咬人,9
a barking dog seldom bites,会叫的狗不咬人,8
a bird in the hand,一鸟在手,6
a bird in the hand is worth two in the bush,一鸟在手胜过双鸟在林,9
a broken clock is right twice a day,瞎猫碰上死耗子,7
a buck is a buck,蚊子再小也是肉,8
a buck is a buck is a buck,蚊子再小也是肉,8
a buck's a buck,蚊子再小也是肉,8
a burnt child dreads the fire,一朝被蛇咬十年怕井绳,10
a camel is a horse designed by a committee,三个和尚没水吃,7
a camel is a horse made by a committee,三个和尚没水吃,7
a camel is a horse made by committee,三个和尚没水吃,7
a cat can look at a king,王子犯法与庶民同罪,6
a cat in gloves catches no mice,不入虎穴焉得虎子,7
a cat may look at a king,王子犯法与庶民同罪,6
a chain is as strong as its weakest link,木桶原理短板决定高度,7
a chain is no stronger than its weakest link,木桶原理短板决定高度,7
a chain is only as strong as its weakest link,木桶原理短板决定高度,7
a closed mouth catches no flies,祸从口出,6
a closed mouth doesn't get fed,不说没人知道,5
a closed mouth gathers no feet,病从口入祸从口出,6
a contented mind is a perpetual feast,知足常乐,10
a creaking door hangs long on its hinges,老来多健忘唯不忘相思,3
a danger foreseen is half avoided,防患于未然,9
a drowning man will clutch at a straw,溺水者连稻草也要抓,7
a drowning man will grab at a straw,溺水者连稻草也要抓,7
a drowning man will grab at straws,溺水者连稻草也要抓,7
a drowning man will grasp at a straw,溺水者连稻草也要抓,7
a drowning man will grasp at straws,溺水者连稻草也要抓,7
a fair booty makes many a thief,人为财死鸟为食亡,8
a fault confessed is half redressed,知错能改善莫大焉,8
a fool and his money are soon parted,财不入愚人之门,7
a foolish consistency is the hobgoblin of little minds,拘泥成见，难有长进,4
a friend in need is a friend indeed,患难见真情,10
a friend to everyone is a friend to no one,八面玲珑，难得真心,5
a golden key can open any door,有钱能使鬼推磨,9
a good beginning makes a good ending,良好的开端是成功的一半,10
a good conscience is a soft pillow,不做亏心事，不怕鬼敲门,9
a good deed is its own reward,行善自有善报,8
a healthy body is a healthy mind,身体是革命的本钱,7
a hit dog hollers,谁鞋子挤脚谁知道,4
a hit dog will holler,谁鞋子挤脚谁知道,4
a house divided against itself cannot stand,家和万事兴,7
a house is not a home,金窝银窝不如自家草窝,6
a hungry man is an angry man,人是铁，饭是钢，一顿不吃饿得慌,5
a journey of a thousand miles begins with a single step,千里之行，始于足下,10
a leopard cannot change its spots,江山易改，本性难移,10
a leopard does not change its spots,江山易改，本性难移,10
a lie can run around the world before the truth can get its boots on,谣言跑得快，真相追得累,6
a lie has no legs,谎言站不住脚,9
a little knowledge is a dangerous thing,一知半解最误事,8
a little learning is a dangerous thing,一知半解最误事,8
a man is known by the company he keeps,近朱者赤，近墨者黑,10
a man's home is his castle,家是最温暖的港湾,6
a mill cannot grind with the water that is past,覆水难收,7
a mind is a terrible thing to waste,浪费人才是最大的浪费,6
a miss is as good as a mile,差之毫厘，失之千里,9
"a moment on the lips, a lifetime on the hips",嘴上一时爽，肉在腰上长,8
a new broom sweeps clean,新官上任三把火,10
"a new broom sweeps clean, but an old broom knows all the corners",新官上任三把火，老臣熟门熟路,5
"a new broom sweeps clean, but an old broom knows the corners",新官上任三把火，老臣熟门熟路,5
"a new broom sweeps clean, but the old broom knows the corners",新官上任三把火，老臣熟门熟路,5
a new language is a new life,多一门语言，多一条路,7
a nod is as good as a wink,一点就透,7
a nod is as good as a wink to a blind horse,对牛弹琴,8
a penny saved is a penny earned,省一文是一文,8
a penny saved is a penny gained,省一文是一文,8
a picture is worth a thousand words,一图胜千言,10
a picture paints a thousand words,一图胜千言,10
a problem shared is a problem halved,众人拾柴火焰高,7
a promise is a promise,一诺千金,9
a promise made is a promise kept,言必信行必果,9
a prophet has no honor in his own country,外来的和尚会念经,7
a prophet is not without honor save in his own country,外来的和尚会念经,7
a revolution is not a dinner party,革命不是请客吃饭,10
a rising tide lifts all boats,水涨船高,10
a rolling stone gathers no moss,滚石不生苔,9
"a ship in a harbour is safe, but that's not what a ship is for",船到江心补漏迟,5
a smooth sea never made a skilled sailor,不经风雨难见彩虹,8
a sorrow shared is a sorrow halved,同病相怜,6
a stick in a bundle cannot be broken,团结就是力量,9
a stick in a bundle is unbreakable,团结就是力量,9
a stitch in time,小洞不补大洞吃苦,8
a stitch in time saves nine,小洞不补大洞吃苦,9
a stopped clock is right twice a day,瞎猫碰上死耗子,7
a straw shows how the wind blows,见微知著,9
a straw shows which way the wind blows,见微知著,9
a sucker is born every minute,天下没有不长眼的冤大头,6
a trouble shared is a trouble halved,众人拾柴火焰高,7
a twig in a bundle cannot be broken,团结就是力量,9
a twig in a bundle is unbreakable,团结就是力量,9
a watched kettle never boils,心急水不开,8
a watched pot never boils,心急水不开,9
a watched pot never boils over,心急水不开,7
a watched pot/kettle never boils,心急水不开,9
a wild goose never laid a tame egg,龙生龙凤生凤老鼠生儿会打洞,8
a woman's work is never done,女人的活儿没有干完的时候,6
a worry shared is a worry halved,众人拾柴火焰高,6
absence makes the heart grow fonder,小别胜新婚,9
absolute power corrupts absolutely,权力导致腐败绝对的权力导致绝对的腐败,8
accidents will happen,天有不测风云,9
accidents will happen in the best regulated families,家家有本难念的经,8
almost only counts in horseshoes and hand grenades,差之毫厘，失之千里,7
an apple a day keeps the doctor at bay,预防胜于治疗,8
an apple a day keeps the doctor away,预防胜于治疗,9
an army marches on its stomach,兵马未动，粮草先行,10
an englishman's home is his castle,家是温暖的港湾,6
an englishman's home is his castle/a man's home is his castle,家是温暖的港湾,6
an eye for an eye makes the whole world blind,冤冤相报何时了,10
"an eye for an eye, a tooth for a tooth",以牙还牙，以眼还眼,10
an honest man doesn't need to remember much,身正不怕影子斜,8
an image is worth a thousand words,百闻不如一见,9
an old dog for a hard road,姜还是老的辣,9
an ounce of prevention is better than a pound of cure,防患于未然,9
an ounce of prevention is better than an ounce of cure,防患于未然,8
an ounce of prevention is worth a pound of cure,防患于未然,9
"another day, another dollar",混口饭吃,5
any exposure is good exposure,好事不出门，坏事传千里,5
any port in a storm,饥不择食，寒不择衣,7
any press is good press,好事不出门，坏事传千里,6
any publicity is good publicity,好事不出门，坏事传千里,6
anything worth doing is hard,玉不琢，不成器,6
appearances are deceptive,人不可貌相，海水不可斗量,10
april showers bring forth may flowers,不经风雨，怎见彩虹,9
april showers bring may flowers,不经风雨，怎见彩虹,9
"art is long, life is short",学海无涯，人生苦短,7
"as a dog returns to his vomit, so a fool repeats his folly",重蹈覆辙,8
"as a tree bends, so shall it grow",小时偷针，长大偷金,7
"as one door closes, another opens",此处不留人，自有留人处,8
"as the mountain could not wait upon mahomet, mahomet would go to the mountain",山不就我，我就山,4
"as the twig is bent, so is the tree inclined",三岁看大，七岁看老,9
"as you have brewed, so you must drink",自作自受,10
"as you make your bed, so you must lie in it",自食其果,10
"as you make your bed, so you must lie upon it",自食其果,10
as you sow so shall you reap,种瓜得瓜，种豆得豆,10
"as you sow, so shall you reap",种瓜得瓜，种豆得豆,10
ask a silly question and you will get a silly answer,什么样的问题，什么样的答案,3
"ask a silly question, get a silly answer",什么样的问题，什么样的答案,3
"ask a stupid question, get a stupid answer",自作自受,6
ask no questions and hear no lies,眼不见心不烦,7
at the end of my rope,山穷水尽,8
attack is the best form of defence,攻为守之本,8
attack is the best form of defense,攻为守之本,8
attitude reflects leadership,上梁不正下梁歪,10
bad facts make bad law,坏的开头坏的结果,3
bad money drives out good,劣币驱逐良币,10
bad news travels fast,好事不出门，坏事传千里,10
bad things come in threes,祸不单行,9
barking dogs never bite,会叫的狗不咬人,9
barking dogs seldom bite,会叫的狗不咬人,9
be yourself,做自己,7
"beauty fades, dumb is forever",红颜易老，愚蠢难医,4
beauty is but skin-deep,人不可貌相,8
beauty is in the eye of the beholder,情人眼里出西施,10
beauty is only skin deep,人不可貌相,8
beauty never boiled the pot,美貌当不了饭吃,7
beauty won't boil the pot,美貌当不了饭吃,7
beauty won't make the pot boil,美貌当不了饭吃,7
"before setting out on a mission of vengeance, dig two graves",害人终害己,8
beggars can't be choosers,饥不择食,10
beggars cannot be choosers,饥不择食,10
behind every great man is a great woman,每个成功男人背后都有一个伟大的女人,8
behind every great man there stands a woman,每个成功男人背后都有一个伟大的女人,8
"behind every great man, there is a great woman",每个成功男人背后都有一个伟大的女人,8
behind every successful man there stands a woman,每个成功男人背后都有一个伟大的女人,8
believing is seeing,心诚则灵,6
"bet on the jockey, not the horse",宁看家门，不看人穷,3
"bet the jockey, not the horse",宁看家门，不看人穷,3
better an egg today than a hen tomorrow,一鸟在手胜过双鸟在林,9
better is the enemy of good,完美是好事之敌,3
better late than never,亡羊补牢，犹未为晚,9
better one word in time than two afterwards,良言一句三冬暖,4
better safe than sorry,小心驶得万年船,10
better the devil you know,明知山有虎，偏向虎山行,5
better the devil you know than the devil you don't,明知山有虎，偏向虎山行,5
better the devil you know than the devil you don't know,明知山有虎，偏向虎山行,5
better the devil you know than the one you don't,明知山有虎，偏向虎山行,5
better the devil you know than the one you don't know,明知山有虎，偏向虎山行,5
better to have loved and lost than never to have loved at all,曾经沧海难为水,6
better to light a candle than to curse the darkness,与其诅咒黑暗，不如点亮蜡烛,9
better to light a single candle than to curse the darkness,与其诅咒黑暗，不如点亮蜡烛,9
better to light one candle than to curse the darkness,与其诅咒黑暗，不如点亮蜡烛,9
better to light one small candle than to curse the darkness,与其诅咒黑暗，不如点亮蜡烛,9
better to reign in hell than serve in heaven,宁为鸡头，不为凤尾,10
better to remain silent and be thought a fool than to speak and remove all doubt,沉默是金,7
better wear out than rust out,人老心不老,4
beware of greeks bearing gifts,黄鼠狼给鸡拜年，没安好心,10
big fish eat little fish,弱肉强食,10
big things come in small packages,浓缩的都是精华,9
bird in the hand,一鸟在手胜过双鸟在林,8
birds of a feather,物以类聚,10
birds of a feather flock together,物以类聚，人以群分,10
birds of the feather flock together,物以类聚，人以群分,10
blood is thicker than water,血浓于水,10
born with a silver spoon in one's mouth,含着金汤匙出生,7
boys will be boys,男孩子嘛，总是这样,6
brevity is the soul of wit,言多必失,5
bros before hoes,兄弟如手足,6
bros before hos,兄弟如手足,6
business before pleasure,先工作后享乐,7
"buy cheap, buy twice",一分钱一分货,10
"by failing to prepare, you are preparing to fail",不打无准备之仗,8
caesar's wife must be above suspicion,身正不怕影子斜,8
calm seas never made a good sailor,不经风雨，难见彩虹,9
"can't live with 'em, can't live without 'em",有她烦没她更烦,5
can't live with them and can't live without them,有她烦没她更烦,5
"can't live with them, can't live without them",有她烦没她更烦,5
"cannot live with them, cannot live without them",有她烦没她更烦,5
care killed a cat,愁多白了少年头,4
care killed the cat,愁多白了少年头,4
careless talk costs lives,祸从口出,10
carpe diem,今朝有酒今朝醉,8
cast not a clout till may be out,春捂秋冻,7
caveat lector,读书须细读,5
charity begins at home,修身齐家而后治国平天下,7
cheaters never prosper,君子爱财取之有道,7
cheats never prosper,害人终害己,8
"cheese, wine, and friends must be old to be good",酒香不怕巷子深,5
children should be seen and not heard,小孩子不要多嘴,6
christmas comes but once a year,良机难得,6
civility costs nothing and buys everything,礼多人不怪,9
"claw me, claw thee",礼尚往来,8
cleanliness is next to godliness,讲究卫生，人人有责,4
clogs to clogs in three generations,富不过三代,10
close only counts in horseshoes,差之毫厘，失之千里,9
close only counts in horseshoes and darts,差之毫厘，失之千里,8
close only counts in horseshoes and hand grenades,差之毫厘，失之千里,8
clothes don't make the man,人不可貌相，海水不可斗量,10
clothes make the man,人要衣装，佛要金装,10
clothes maketh the man,人要衣装，佛要金装,10
"cobbler, keep to your last",各行如各山,6
coffee and love taste best when hot,热恋最甜,3
comparison is the thief of joy,人比人气死人,9
comparisons are odious,人比人气死人,9
cool heads must prevail,冷静才能制胜,6
cool heads prevail,冷静才能制胜,7
cool heads will prevail,冷静才能制胜,7
cooler heads must prevail,冷静才能制胜,7
cooler heads prevail,冷静才能制胜,7
cooler heads will prevail,冷静才能制胜,7
count your blessings,知足常乐,10
cowards may die many times before their death,懦夫一生死多次,3
cream rises,金子总会发光,10
crime does not pay,举头三尺有神明,8
crime doesn't pay,天网恢恢，疏而不漏,10
cross my heart and hope to die stick a needle in my eye,我发誓,6
cross the stream where it is shallowest,量力而行,7
curiosity killed the cat,好奇害死猫,10
curses like chickens come home to roost,种瓜得瓜种豆得豆,8
cut your coat according to your cloth,量入为出,10
dance with the one that brought ya,饮水思源,8
dance with the one that brought you,饮水思源,8
dance with the one that brung ya,饮水思源,8
dance with the one that brung you,饮水思源,8
dance with the one what brought ya,饮水思源,7
dance with the one what brought you,饮水思源,7
dance with the one what brung ya,饮水思源,7
dance with the one what brung you,饮水思源,7
dance with the one who brought ya,饮水思源,8
dance with the one who brought you,饮水思源,8
dance with the one who brung ya,饮水思源,8
dance with the one who brung you,饮水思源,8
danger past and god forgotten,好了伤疤忘了疼,9
danger past god forgotten,好了伤疤忘了疼,9
danger past god is forgotten,好了伤疤忘了疼,9
dead men can tell no tales,死人不开口,6
dead men tell no tales,死人不开口,6
death is the great leveller,黄泉路上不分贵贱,7
desperate times call for desperate measures,非常之时行非常之策,8
desperate times require desperate measures,非常之时行非常之策,8
devil lies in the details,细节决定成败,10
devil take the hindmost,人不为己天诛地灭,6
diamonds are a girl's best friend,有钱才是硬道理,5
dicks before chicks,兄弟如手足,6
different clowns same circus,换汤不换药,9
different strokes for different folks,萝卜青菜各有所爱,10
discretion is the better part of valor,留得青山在不怕没柴烧,9
discretion is the better part of valour,留得青山在不怕没柴烧,9
divide and conquer,分而治之,10
do as you would be done by,己所不欲勿施于人,10
do not bite the hand that feeds you,不要恩将仇报,10
do not burn your bridges behind you,留得青山在，不怕没柴烧,8
do not carry coals to newcastle,画蛇添足,7
do not cast your pearls before swine,对牛弹琴,10
do not change horses in midstream,中途换将不利,7
do not count your chickens before they are hatched,鸡蛋未孵先数雏,9
do not cross the bridge till you come to it,船到桥头自然直,10
do not cry over spilled milk,覆水难收,9
do not cut off your nose to spite your face,杀敌一千自损八百,8
do not dish it if you can't take it,只许州官放火，不许百姓点灯,6
do not judge a book by its cover,人不可貌相，海水不可斗量,10
do not keep a dog and bark yourself,请神容易送神难,3
do not let the bastards grind you down,不到黄河心不死,5
do not let the grass grow beneath (one's) feet,雷厉风行,7
do not look a gift horse in the mouth,拿人手短，吃人嘴软,6
do not make a mountain out of a mole hill,小题大做,10
do not meet troubles half-way,杞人忧天,7
do not put all your eggs in one basket,不要把鸡蛋放在一个篮子里,9
do not put new wine into old bottles,新瓶装旧酒,6
do not put off until tomorrow what you can do today,今日事，今日毕,10
do not put the cart before the horse,本末倒置,10
do not put too many irons in the fire,贪多嚼不烂,8
do not rock the boat,不要节外生枝,7
do not shut/lock the stable door after the horse has bolted,亡羊补牢，未为晚也,9
do not spend it all in one place,省吃俭用细水长流,6
do not spoil the ship for a ha'porth of tar,因小失大,8
do not teach your grandmother to suck eggs,班门弄斧,10
do not throw pearls to swine,对牛弹琴,10
do not throw the baby out with the bathwater,因噎废食,9
do not try to walk before you can crawl,欲速则不达,8
do not upset the apple-cart,不要打乱阵脚,6
do not wash your dirty linen in public,家丑不可外扬,10
do unto others as you would have them do unto you,己所不欲，勿施于人,10
"do what i say, not what i do",只听其言，不看其行,4
"doctor, heal thyself",医不自治,7
doctors make the worst patients,当局者迷，旁观者清,4
"dogs have owners, cats have staff",狗拿耗子多管闲事,3
don't change a winning team,胜不更兵,9
don't count your chickens,不要高兴得太早,7
don't count your chickens before the eggs have hatched,鸡蛋未孵先数雏,10
don't count your chickens before they're hatched,鸡蛋未孵先数雏,10
don't count your chickens before they've hatched,鸡蛋未孵先数雏,10
don't count your chicks,不要高兴得太早,6
don't count your chicks before they hatch,鸡蛋未孵先数雏,10
don't count your chicks before they're hatched,鸡蛋未孵先数雏,10
don't cry over spilled milk,覆水难收,10
don't dip your pen in company ink,兔子不吃窝边草,9
don't drive faster than your guardian angel can fly,车到山前必有路，车毁人亡也常有,3
don't fight the tape,逆势而行必自毙,4
don't fish off the company dock,兔子不吃窝边草,9
don't get above your raising,不要忘本,6
"don't get mad, get even",君子报仇，十年不晚,7
don't get your honey where you make your money,兔子不吃窝边草,9
don't get your hopes up,不要抱太大希望,7
don't get your meat where you get your bread,兔子不吃窝边草,9
"don't hate the player, hate the game",不怨天，不尤人,5
don't judge a book by its cover,人不可貌相，海水不可斗量,10
don't keep a dog and bark yourself,请神容易送神难,2
don't look a gift horse in the mouth,拿人手短，吃人嘴软,5
don't mess with success,胜不更兵,8
don't put all your eggs in one basket,不要把鸡蛋放在同一个篮子里,10
don't sell the skin till you have caught the bear,鸡蛋未孵先数雏,7
don't shit in your own nest,不要砸自己的饭碗,9
don't shit where you eat,不要砸自己的饭碗,9
don't shoot the messenger,不杀来使,8
don't sweat the small stuff,不要为芝麻小事烦恼,6
don't take any wooden nickels,别上当受骗,5
don't teach your grandmother how to milk ducks,不要班门弄斧,9
don't teach your grandmother to steal sheep,不要班门弄斧,9
don't try to teach grandma how to suck eggs,不要班门弄斧,10
"doubt is the beginning, not the end, of wisdom",学问之道无他，求其放心而已矣,3
drastic times call for drastic measures,非常之时行非常之事,8
dripping water hollows a stone,滴水穿石,10
"drive for show, putt for dough",细节决定成败,6
drunk words are sober thoughts,酒后吐真言,10
drunken words are sober thoughts,酒后吐真言,10
e pluribus unum,众志成城,7
each to his own,各有所好,9
"early to bed and early to rise makes a man healthy, wealthy and wise",早睡早起身体好,8
"early to bed, early to rise, makes a man healthy, wealthy and wise",早睡早起身体好,8
easier said than done,说来容易做来难,10
"east is east, and west is west",东是东来西是西,4
"east, west, home is best",金窝银窝不如自家草窝,9
"easy come, easy go",来得容易去得快,10
"eat breakfast like a king, lunch like a prince and dinner like a pauper",早饭要吃好，午饭要吃饱，晚饭要吃少,9
"eat to live, not live to eat",为生而食，不为食而生,6
"eat, drink and be merry",吃喝玩乐,8
"eat, drink and be merry for tomorrow we die",今朝有酒今朝醉,10
"eat, drink and be merry, for tomorrow we die",今朝有酒今朝醉,10
"eat, drink, and be merry",吃喝玩乐,8
"eat, drink, and be merry, for tomorrow we die",今朝有酒今朝醉,10
eaten bread is soon forgotten,吃过嘴软拿过手短,5
empty barrels make the most noise,满瓶不响半瓶晃荡,10
empty cans make the most noise,满瓶不响半瓶晃荡,10
empty vessels make the most noise,满瓶不响半瓶晃荡,10
empty vessels make the most sound,满瓶不响半瓶晃荡,10
enough is as good as a feast,知足常乐,9
est modus in rebus,凡事要有分寸,6
even a blind pig can find an acorn,瞎猫碰上死耗子,10
even a blind pig can find an acorn once in a while,瞎猫碰上死耗子,10
even a blind squirrel can find a nut once in a while,瞎猫碰上死耗子,10
even a blind squirrel finds an acorn every now and then,瞎猫碰上死耗子,10
even a blind squirrel finds an acorn every once in a while,瞎猫碰上死耗子,10
even a broken clock is right twice a day,狗屎里也能踩出个金元宝,5
even a stopped clock is right twice a day,狗屎里也能踩出个金元宝,5
even a worm will turn,兔子急了还咬人,9
even from a foe a man may learn wisdom,三人行必有我师,6
even homer nods,智者千虑必有一失,9
even jove nods,智者千虑必有一失,9
every barrel has a rotten apple,林子大了什么鸟都有,7
every cloud has a silver lining,塞翁失马焉知非福,9
every dark cloud has a silver lining,塞翁失马焉知非福,9
every day is a school day,活到老学到老,10
every dog has his day,人人都有出头日,8
every dog has its day,人人都有出头日,8
every dog must have his day,人人都有出头日,8
every dog must have its day,人人都有出头日,8
every jack has his jill,天生一对,7
every law has a loophole,上有政策下有对策,8
every law has its loophole,上有政策下有对策,8
every little bit helps,积少成多,10
every little helps,积少成多,10
every man for himself,人不为己天诛地灭,8
every man has a price,重利之下必有勇夫,6
every man has his price,重利之下必有勇夫,6
every man is the architect of his own fortune,命运掌握在自己手中,7
every miller draws water to his own mill,各人自扫门前雪,7
every picture tells a story,一图胜千言,9
every rose has a thorn,瑕不掩瑜,6
every rose has its thorn,瑕不掩瑜,6
every rule has an exception,事无绝对,9
every shut eye isn't asleep,闭着眼不一定在睡觉,4
every silver lining has a cloud,乐极生悲,7
every stick has two ends,一体两面,5
every tide has its ebb,盛极必衰,8
everybody wants to go to heaven but nobody wants to die,鱼和熊掌不可兼得,7
everyone has their price,重利之下必有勇夫,6
everything comes to those who wait,功到自然成,8
everything happens for a reason,事出必有因,9
everything is fair in love and war,兵不厌诈,6
everything old is new again,时来运转,3
evil be to him who evil thinks,害人终害己,8
experience is the best teacher,吃一堑长一智,9
fact is stranger than fiction,事实往往比小说更离奇,5
facts speak louder than words,事实胜于雄辩,10
failing to plan is planning to fail,不打无准备之仗,7
failure is the best teacher,失败是成功之母,10
failure to prepare is preparing to fail,不打无准备之仗,9
faint heart never won fair lady,胆小难成大事,7
fair exchange is no robbery,两厢情愿各不吃亏,6
faith can move mountains,精诚所至金石为开,8
faith will move mountains,精诚所至金石为开,8
fake it till you make it,熟能生巧,6
"fall seven times, stand up eight",百折不挠,9
false friends are worse than open enemies,明枪易躲暗箭难防,8
familiarity breeds contempt,距离产生美,7
fas est et ab hoste doceri,三人行必有我师,7
fight fire with fire,以毒攻毒,9
finders keepers,捡到就是赚到,6
"finders, keepers",捡到就是赚到,6
fine feathers make fine birds,人靠衣装马靠鞍,10
fine words butter no parsnips,空口无凭,6
first catch your hare,巧妇难为无米之炊,7
"first come, first served",先来后到,10
first impressions are the most lasting,先入为主,9
first things first,轻重缓急分明,7
fish always rots from the head downwards,上梁不正下梁歪,10
fish and company stink after three days,客走茶凉,6
fish and guests smell after three days,客走茶凉,6
flattery will get you nowhere,拍马屁没用,6
"fool me once, shame on you; fool me twice, shame on me",一朝被蛇咬十年怕井绳,8
fools rush in,愚者无惧,5
fools rush in where angels fear to tread,初生牛犊不怕虎,8
for want of a nail the shoe was lost; for want of a shoe the horse was lost; and for want of a horse the man was lost,千里之堤溃于蚁穴,10
forbidden fruit is the sweetest,越是得不到的越想要,8
forewarned is forearmed,有备无患,10
"forewarned, forearmed",有备无患,10
fortune favors the bold,富贵险中求,9
fortune favors the brave,富贵险中求,9
fortune favors the daring,富贵险中求,10
fortune favours the bold,富贵险中求,10
fortune favours the bold/brave,富贵险中求,10
fortune favours the brave,富贵险中求,10
fortune favours the daring,富贵险中求,10
freedom ain't free,自由不是免费的午餐,8
freedom is not free,自由不是免费的午餐,8
freedom isn't free,自由不是免费的午餐,8
freedom's not free,自由不是免费的午餐,8
from the sublime to the ridiculous,美中不足,5
"garbage in, garbage out",输入垃圾，输出垃圾,7
genius is an infinite capacity for taking pains,天才出于勤奋,7
"genius is one percent inspiration, ninety-nine percent perspiration",天才是百分之一的灵感加百分之九十九的汗水,10
give a dog a bad name and hang him,欲加之罪，何患无辞,8
give a man a fish and you feed him for a day. teach a man to fish and you feed him for a lifetime,授人以鱼不如授人以渔,10
give a man a fish and you feed him for a day; teach a man to fish and you feed him for a lifetime,授人以鱼不如授人以渔,10
give a man rope enough and he will hang himself,自作自受,6
give credit where credit is due,功劳归于有功之人,6
give him an inch and he will take a mile,得寸进尺,10
give someone an inch and someone will take a mile,得寸进尺,10
give someone enough rope and they'll hang themself,自作自受,6
give the devil his/her due,是非分明,6
give them an inch and they'll take a mile,得寸进尺,10
give them an inch and they'll take an ell,得寸进尺,10
go hard or go home,要么不做要做就做好,6
god doesn't give with both hands,鱼与熊掌不可兼得,9
god helps them that help themselves,自助者天助之,10
god helps them who help themselves,自助者天助之,10
god helps those who help themselves,自助者天助之,10
god is in the detail,细节决定成败,9
god works in mysterious ways,天意难测,8
gods may do what cattle may not,君子可为而小人不可为,5
gold is where you find it,踏破铁鞋无觅处，得来全不费工夫,6
"good artists copy, great artists steal",青出于蓝而胜于蓝,5
good fences make good neighbors,亲兄弟明算账,8
good fences make good neighbours,亲兄弟明算账,9
good things come in small packages,浓缩的都是精华,9
good things come to those who wait,好事多磨,9
good wine needs no bush,酒香不怕巷子深,10
"good work ain't cheap, cheap work ain't good",一分钱一分货,10
"grasp all, lose all",贪多嚼不烂,9
great haste makes great waste,欲速则不达,10
great minds think alike,英雄所见略同,10
great oaks from little acorns grow,合抱之木，生于毫末,10
"hair today, gone tomorrow",来也匆匆，去也匆匆,5
half a loaf is better than no bread,聊胜于无,9
half a loaf is better than no loaf,聊胜于无,9
half a loaf is better than none,聊胜于无,9
handsome is as handsome does,人美不如心美,7
handsome is that handsome does,人美不如心美,7
"happy wife, happy life",家和万事兴,7
hard work never did anyone any harm,吃得苦中苦，方为人上人,8
haste makes waste,欲速则不达,10
haters gonna hate,走自己的路，让别人说去吧,6
he laughs best that laughs last,笑到最后的人笑得最甜,8
"he that goes a-borrowing, goes a-sorrowing",欠债还钱，天经地义,6
"he that mischief hatches, mischief catches",害人终害己,10
he who digs a pit for others falls in himself,搬起石头砸自己的脚,10
"he who fails to prepare, prepares to fail",不打无准备之仗,8
he who hesitates is lost,当机立断,7
he who knows does not speak. he who speaks does not know,知者不言，言者不知,10
he who laughs last laughs best,笑到最后的人笑得最甜,9
he who laughs last laughs hardest,笑到最后的人笑得最甜,8
he who laughs last laughs longest,笑到最后的人笑得最甜,8
"he who lives by the sword, dies by the sword",玩火者必自焚,9
he who loves the world as his body may be entrusted with the empire,爱人者人恒爱之,5
he who pays the piper calls the tune,拿人手短吃人嘴软,6
he who said the rhyme did the crime,此地无银三百两,7
he who smelt it dealt it,此地无银三百两,6
he who sups with the devil should have a long spoon,与虎谋皮,7
health is wealth,身体是革命的本钱,9
health is your first wealth,健康是最大的财富,9
heaven helps those that help themselves,天助自助者,10
heaven helps those who help themselves,天助自助者,10
hell has no fury like a woman scorned,最毒妇人心,7
hell hath no fury like a woman scorned,最毒妇人心,7
"hell hath no fury like a woman scorned; heav'n has no rage, like love to hatred turn'd, nor hell a fury, like a woman scorn'd",最毒妇人心,6
"hell is full of good meanings, but heaven is full of good works",空谈误国实干兴邦,7
"hic rhodus, hic salta",是骡子是马拉出来遛遛,7
hindsight is 20/20,事后诸葛亮,9
hindsight is always twenty-twenty,事后诸葛亮,9
history is written by the victors,成者为王败者为寇,9
history repeats itself,历史总是惊人地相似,8
home is where the heart is,金窝银窝不如自家草窝,8
home is where you hang your hat,四海为家,7
honesty is the best policy,诚实为上,8
honey catches more flies than vinegar,良言一句三冬暖,7
"hope for the best, and prepare for the worst",居安思危,8
"hope for the best, prepare for the worst",居安思危,8
hope springs eternal,留得青山在不愁没柴烧,7
hope springs eternal in the human breast,留得青山在不愁没柴烧,7
horses for courses,对症下药,8
"horses, not zebras",就事论事,4
how long is a piece of string,这可说不准,3
how you get them is how you lose them,来得快去得也快,8
hunger is a good sauce,饥不择食,8
hunger is the best pickle,饥不择食,8
hunger is the best sauce,饥不择食,9
hunger is the best seasoning,饥不择食,9
hunger is the best spice,饥不择食,9
hunt where the ducks are,对症下药,6
hurt people hurt people,可怜之人必有可恨之处,6
i want doesn't get,会哭的孩子有奶吃,4
i'm going to have to give you the pink slip,炒鱿鱼,9
idle hands are the devil's playthings,游手好闲，惹是生非,7
idle hands are the devil's tools,游手好闲，惹是生非,8
idle hands are the devil's workshop,游手好闲，惹是生非,8
idle hands make work for the devil,游手好闲，惹是生非,8
"if a job is worth doing, it is worth doing well",干一行爱一行,7
"if all you have is a hammer, everything looks like a nail",一招鲜吃遍天,6
"if all you've got is a hammer, everything looks like a nail",一招鲜吃遍天,6
"if anything can go wrong, it will",屋漏偏逢连夜雨,7
"if at first you do not succeed, try, try again",失败是成功之母,9
